Season,#,Title,Directed,Written,Airdate,Description
8,4,"""Charlie and Dee Find Love""",Richie Keen,"Charlie Day, Glenn Howerton, & Rob McElhenney",2012/11/01,"Charlie and Dee find a romantic connection with two members of one of Philly's wealthiest families; Mac, Dennis and Frank try to get a piece of the action."
8,5,"""The Gang Gets Analyzed""",Todd Biermann,Luvh Rakhe,2012/11/08,The Gang step into the therapist's office to work through their mountain of issues; Dennis' psychology is exposed as abnormal indeed.
8,6,"""Charlie's Mom Has Cancer""",Richie Keen,Scott Marder & Rob Rosell,2012/11/15,The Gang rallies around Charlie's mom as she battles cancer; Frank loses his memory and his mind in a quest for buried treasure.
8,7,"""Frank's Back in Business""",Richie Keen,Dave Chernin & John Chernin,2012/11/29,"With Charlie under his wing, Frank cleans up so he can get his hands dirty and help out his old company with one last big merger."
8,8,"""Charlie Rules the World""",Matt Shakman,David Hornsby,2012/12/06,"After slipping into an unhealthy obsession with computer games, The Gang wrestles to define the difference between the real and the virtual worlds."
8,9,"""The Gang Dines Out""",Matt Shakman,Mehar Sethi,2012/12/13,"Every member of The Gang has something to celebrate at Guigino's, Philly's finest eatery."
8,10,"""Reynolds vs. Reynolds: The Cereal Defense""",Richie Keen,"Charlie Day, Glenn Howerton, & Rob McElhenney",2012/12/20,"Frank accidentally hits Dennis' car, and The Gang decides to hold a trial at Paddy's to resolve this legal issue."
9,1,"""The Gang Broke Dee""",Richie Keen,"Charlie Day, Glenn Howerton, & Rob McElhenney",2013/09/04,"Dee starts to embrace the desperate, self-loathing qualities the guys have beaten into her over the years, sending her stand-up comedy career to unexpected places."
9,2,"""Gun Fever Too: Still Hot""",Todd Biermann,"Charlie Day, Glenn Howerton, & Rob McElhenney",2013/09/11,"After Frank appears on Local Television advocating gun ownership, the rest of the gang takes a look at the ownership process and alternatives to find a common ground on this still heated issue."
9,3,"""The Gang Tries Desperately to Win an Award""",Richie Keen,David Hornsby,2013/09/18,"Tired of failing to be recognized for their years of service in the bar industry, the gang changes their ways to give the patrons what they think they want."
9,4,"""Mac and Dennis Buy a Timeshare""",Dan Attias,Dave Chernin & John Chernin,2013/09/25,The gang does their best to recoup their investments in questionable schemes by dumping their losses on Ben the soldier while trying to avoid being duped again by whatever mastermind is pulling their strings.
9,5,"""Mac Day""",Richie Keen,"Charlie Day, Glenn Howerton & Rob McElhenney",2013/10/02,"Everyone in the gang gets a day to do what they want while everyone else in the gang must participate willingly. This is Mac's Day... and it's got twice the ""Mac""."
9,6,"""The Gang Saves the Day""",Dan Attias,Dave Chernin & John Chernin,2013/10/09,"When a routine trip to a convenience store places the gang in the middle of an armed robbery, each of them is forced to explore how they react in extreme situations."
9,7,"""The Gang Gets Quarantined""",Heath Cullens,David Hornsby,2013/10/16,"When a severe flu outbreak sweeps Philadelphia the gang voluntarily quarantine themselves inside of Paddy's in an attempt to keep their singing voices pristine for an upcoming competition, although they have trouble adhering to the strict rules they've set for themselves."
9,8,"""Flowers for Charlie""",Dan Attias,David Benioff & D.B. Weiss,2013/10/23,"When an experiment successfully multiplies Charlie's intellect and takes him away from the bar, the rest of the gang find themselves struggling to complete the menial 'Charlie Work' that has kept the bar running for so long."
